"Label";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes";"Annual agricultural producer price indices (IPPAP) - Grapes";"Codes"
"2018";"92.2";"A";"92.2";"A";"92.2";"A";"92.2";"A";"92.2";"A";"92.2";"A";"92.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"102.6";"A";"102.6";"A";"102.6";"A";"102.6";"A";"102.6";"A";"102.6";"A";"102.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"90.2";"A";"90.2";"A";"90.2";"A";"90.2";"A";"90.2";"A";"90.2";"A";"90.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2015";"89.7";"A";"89.7";"A";"89.7";"A";"89.7";"A";"89.7";"A";"89.7";"A";"89.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2014";"86.5";"A";"86.5";"A";"86.5";"A";"86.5";"A";"86.5";"A";"86.5";"A";"86.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2013";"85.1";"A";"85.1";"A";"85.1";"A";"85.1";"A";"85.1";"A";"85.1";"A";"85.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"76.8";"A";"76.8";"A";"76.8";"A";"76.8";"A";"76.8";"A";"76.8";"A";"76.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"78.5";"A";"78.5";"A";"78.5";"A";"78.5";"A";"78.5";"A";"78.5";"A";"78.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"66.3";"A";"66.3";"A";"66.3";"A";"66.3";"A";"66.3";"A";"66.3";"A";"66.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"65.5";"A";"65.5";"A";"65.5";"A";"65.5";"A";"65.5";"A";"65.5";"A";"65.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"71.8";"A";"71.8";"A";"71.8";"A";"71.8";"A";"71.8";"A";"71.8";"A";"71.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"63.8";"A";"63.8";"A";"63.8";"A";"63.8";"A";"63.8";"A";"63.8";"A";"63.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"57.5";"A";"57.5";"A";"57.5";"A";"57.5";"A";"57.5";"A";"57.5";"A";"57.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"55.7";"A";"55.7";"A";"55.7";"A";"55.7";"A";"55.7";"A";"55.7";"A";"55.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"64.2";"A";"64.2";"A";"64.2";"A";"64.2";"A";"64.2";"A";"64.2";"A";"64.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"68.4";"A";"68.4";"A";"68.4";"A";"68.4";"A";"68.4";"A";"68.4";"A";"68.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"64.8";"A";"64.8";"A";"64.8";"A";"64.8";"A";"64.8";"A";"64.8";"A";"64.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"56.8";"A";"56.8";"A";"56.8";"A";"56.8";"A";"56.8";"A";"56.8";"A";"56.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"55.8";"A";"55.8";"A";"55.8";"A";"55.8";"A";"55.8";"A";"55.8";"A";"55.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"49.4";"A";"49.4";"A";"49.4";"A";"49.4";"A";"49.4";"A";"49.4";"A";"49.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"53.3";"A";"53.3";"A";"53.3";"A";"53.3";"A";"53.3";"A";"53.3";"A";"53.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"61.4";"A";"61.4";"A";"61.4";"A";"61.4";"A";"61.4";"A";"61.4";"A";"61.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"40.4";"A";"40.4";"A";"40.4";"A";"40.4";"A";"40.4";"A";"40.4";"A";"40.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"44.6";"A";"44.6";"A";"44.6";"A";"44.6";"A";"44.6";"A";"44.6";"A";"44.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1994";"52.0";"A";"52.0";"A";"52.0";"A";"52.0";"A";"52.0";"A";"52.0";"A";"52.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1993";"36.4";"A";"36.4";"A";"36.4";"A";"36.4";"A";"36.4";"A";"36.4";"A";"36.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1992";"31.2";"A";"31.2";"A";"31.2";"A";"31.2";"A";"31.2";"A";"31.2";"A";"31.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1991";"59.4";"A";"59.4";"A";"59.4";"A";"59.4";"A";"59.4";"A";"59.4";"A";"59.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1990";"39.7";"A";"39.7";"A";"39.7";"A";"39.7";"A";"39.7";"A";"39.7";"A";"39.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1989";"37.7";"A";"37.7";"A";"37.7";"A";"37.7";"A";"37.7";"A";"37.7";"A";"37.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1988";"34.9";"A";"34.9";"A";"34.9";"A";"34.9";"A";"34.9";"A";"34.9";"A";"34.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1987";"31.7";"A";"31.7";"A";"31.7";"A";"31.7";"A";"31.7";"A";"31.7";"A";"31.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1986";"30.3";"A";"30.3";"A";"30.3";"A";"30.3";"A";"30.3";"A";"30.3";"A";"30.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1985";"28.2";"A";"28.2";"A";"28.2";"A";"28.2";"A";"28.2";"A";"28.2";"A";"28.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1984";"29.5";"A";"29.5";"A";"29.5";"A";"29.5";"A";"29.5";"A";"29.5";"A";"29.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1983";"28.6";"A";"28.6";"A";"28.6";"A";"28.6";"A";"28.6";"A";"28.6";"A";"28.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1982";"25.0";"A";"25.0";"A";"25.0";"A";"25.0";"A";"25.0";"A";"25.0";"A";"25.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1981";"25.4";"A";"25.4";"A";"25.4";"A";"25.4";"A";"25.4";"A";"25.4";"A";"25.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1980";"22.7";"A";"22.7";"A";"22.7";"A";"22.7";"A";"22.7";"A";"22.7";"A";"22.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1979";"14.6";"A";"14.6";"A";"14.6";"A";"14.6";"A";"14.6";"A";"14.6";"A";"14.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1978";"22.2";"A";"22.2";"A";"22.2";"A";"22.2";"A";"22.2";"A";"22.2";"A";"22.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1977";"18.3";"A";"18.3";"A";"18.3";"A";"18.3";"A";"18.3";"A";"18.3";"A";"18.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1976";"11.4";"A";"11.4";"A";"11.4";"A";"11.4";"A";"11.4";"A";"11.4";"A";"11.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1975";"13.4";"A";"13.4";"A";"13.4";"A";"13.4";"A";"13.4";"A";"13.4";"A";"13.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1974";"10.6";"A";"10.6";"A";"10.6";"A";"10.6";"A";"10.6";"A";"10.6";"A";"10.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1973";"9.0";"A";"9.0";"A";"9.0";"A";"9.0";"A";"9.0";"A";"9.0";"A";"9.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1972";"9.4";"A";"9.4";"A";"9.4";"A";"9.4";"A";"9.4";"A";"9.4";"A";"9.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1971";"8.3";"A";"8.3";"A";"8.3";"A";"8.3";"A";"8.3";"A";"8.3";"A";"8.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1970";"6.4";"A";"6.4";"A";"6.4";"A";"6.4";"A";"6.4";"A";"6.4";"A";"6.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
