"Label";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes"
"2018";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A";"101.0";"A"
"2017";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.6";"A";"100.7";"A";"100.6";"A"
"2016";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A";"102.1";"A"
"2015";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"103.4";"A";"98.8";"A";"103.4";"A"
"2014";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"97.8";"A";"104.0";"A"
"2013";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"102.4";"A";"96.2";"A";"102.4";"A"
"2012";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"98.5";"A";"92.6";"A";"98.5";"A"
"2011";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"89.2";"A";"94.9";"A"
"2010";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.2";"A";"95.1";"A";"89.4";"A";"95.1";"A"
"2009";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"97.6";"A";"91.8";"A";"97.6";"A"
"2008";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"94.1";"A";"88.5";"A";"94.1";"A"
"2007";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"90.3";"A";"84.9";"A";"90.3";"A"
"2006";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"91.3";"A";"85.9";"A";"91.3";"A"
"2005";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"92.4";"A";"86.9";"A";"92.4";"A"
