"Label";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes"
"2018";"77.7";"A";"77.7";"A";"77.7";"A";"77.7";"A";"77.7";"A";"77.7";"A";"77.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"82.1";"A";"82.1";"A";"82.1";"A";"82.1";"A";"82.1";"A";"82.1";"A";"82.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"88.7";"A";"88.7";"A";"88.7";"A";"88.7";"A";"88.7";"A";"88.7";"A";"88.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2015";"116.1";"A";"116.1";"A";"116.1";"A";"116.1";"A";"116.1";"A";"116.1";"A";"116.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2014";"115.0";"A";"115.0";"A";"115.0";"A";"115.0";"A";"115.0";"A";"115.0";"A";"115.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2013";"95.7";"A";"95.7";"A";"95.7";"A";"95.7";"A";"95.7";"A";"95.7";"A";"95.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"114.1";"A";"114.1";"A";"114.1";"A";"114.1";"A";"114.1";"A";"114.1";"A";"114.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"72.4";"A";"72.4";"A";"72.4";"A";"72.4";"A";"72.4";"A";"72.4";"A";"72.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"69.6";"A";"69.6";"A";"69.6";"A";"69.6";"A";"69.6";"A";"69.6";"A";"69.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"124.4";"A";"124.4";"A";"124.4";"A";"124.4";"A";"124.4";"A";"124.4";"A";"124.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"63.5";"A";"63.5";"A";"63.5";"A";"63.5";"A";"63.5";"A";"63.5";"A";"63.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"59.0";"A";"59.0";"A";"59.0";"A";"59.0";"A";"59.0";"A";"59.0";"A";"59.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"58.2";"A";"58.2";"A";"58.2";"A";"58.2";"A";"58.2";"A";"58.2";"A";"58.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"65.2";"A";"65.2";"A";"65.2";"A";"65.2";"A";"65.2";"A";"65.2";"A";"65.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"62.4";"A";"62.4";"A";"62.4";"A";"62.4";"A";"62.4";"A";"62.4";"A";"62.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"60.5";"A";"60.5";"A";"60.5";"A";"60.5";"A";"60.5";"A";"60.5";"A";"60.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"52.0";"A";"52.0";"A";"52.0";"A";"52.0";"A";"52.0";"A";"52.0";"A";"52.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"56.5";"A";"56.5";"A";"56.5";"A";"56.5";"A";"56.5";"A";"56.5";"A";"56.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"61.5";"A";"61.5";"A";"61.5";"A";"61.5";"A";"61.5";"A";"61.5";"A";"61.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"74.2";"A";"74.2";"A";"74.2";"A";"74.2";"A";"74.2";"A";"74.2";"A";"74.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"66.9";"A";"66.9";"A";"66.9";"A";"66.9";"A";"66.9";"A";"66.9";"A";"66.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"70.0";"A";"70.0";"A";"70.0";"A";"70.0";"A";"70.0";"A";"70.0";"A";"70.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1994";"67.5";"A";"67.5";"A";"67.5";"A";"67.5";"A";"67.5";"A";"67.5";"A";"67.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1993";"84.9";"A";"84.9";"A";"84.9";"A";"84.9";"A";"84.9";"A";"84.9";"A";"84.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1992";"90.5";"A";"90.5";"A";"90.5";"A";"90.5";"A";"90.5";"A";"90.5";"A";"90.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1991";"96.6";"A";"96.6";"A";"96.6";"A";"96.6";"A";"96.6";"A";"96.6";"A";"96.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1990";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1989";"110.8";"A";"110.8";"A";"110.8";"A";"110.8";"A";"110.8";"A";"110.8";"A";"110.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1988";"99.0";"A";"99.0";"A";"99.0";"A";"99.0";"A";"99.0";"A";"99.0";"A";"99.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1987";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1986";"128.8";"A";"128.8";"A";"128.8";"A";"128.8";"A";"128.8";"A";"128.8";"A";"128.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1985";"117.0";"A";"117.0";"A";"117.0";"A";"117.0";"A";"117.0";"A";"117.0";"A";"117.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1984";"125.0";"A";"125.0";"A";"125.0";"A";"125.0";"A";"125.0";"A";"125.0";"A";"125.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1983";"128.8";"A";"128.8";"A";"128.8";"A";"128.8";"A";"128.8";"A";"128.8";"A";"128.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1982";"109.5";"A";"109.5";"A";"109.5";"A";"109.5";"A";"109.5";"A";"109.5";"A";"109.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1981";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"100.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1980";"94.3";"A";"94.3";"A";"94.3";"A";"94.3";"A";"94.3";"A";"94.3";"A";"94.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
