"Label";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes"
"2018";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2017";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A"
"2016";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A"
"2015";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"98.4";"A";"101.7";"A"
"2014";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"97.8";"A";"93.5";"A";"97.8";"A"
"2013";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"99.4";"A";"95.1";"A";"99.4";"A"
"2012";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"104.3";"A";"99.7";"A";"104.3";"A"
"2011";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"96.0";"A";"91.8";"A";"96.0";"A"
"2010";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.8";"A";"106.9";"A";"102.2";"A";"106.9";"A"
"2009";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"94.9";"A";"90.7";"A";"94.9";"A"
"2008";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"86.9";"A";"90.9";"A"
"2007";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"94.5";"A";"98.8";"A"
"2006";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.8";"A";"92.5";"A";"96.8";"A"
"2005";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.7";"A";"98.6";"A";"94.3";"A";"98.6";"A"
